timestamp,views
2022-10-02,680
2022-10-03,907
2022-10-04,967
2022-10-05,1038
2022-10-06,953
2022-10-07,942
2022-10-08,706
2022-10-09,717
2022-10-10,953
2022-10-11,1080
2022-10-12,970
2022-10-13,1051
2022-10-14,1109
2022-10-15,704
2022-10-16,718
2022-10-17,1135
2022-10-18,1075
2022-10-19,1083
2022-10-20,1123
2022-10-21,946
2022-10-22,798
2022-10-23,749
2022-10-24,1025
2022-10-25,1098
2022-10-26,1052
2022-10-27,1062
2022-10-28,1038
2022-10-29,735
2022-10-30,820
2022-10-31,1074
2022-11-01,1185
2022-11-02,1208
2022-11-03,1166
2022-11-04,1030
2022-11-05,810
2022-11-06,853
2022-11-07,1116
2022-11-08,1119
2022-11-09,1112
2022-11-10,1102
2022-11-11,943
2022-11-12,852
2022-11-13,876
2022-11-14,1224
2022-11-15,1115
2022-11-16,1102
2022-11-17,1279
2022-11-18,1072
2022-11-19,861
2022-11-20,1061
2022-11-21,1343
2022-11-22,1317
2022-11-23,1259
2022-11-24,1163
2022-11-25,1040
2022-11-26,913
2022-11-27,1042
2022-11-28,1404
2022-11-29,1350
2022-11-30,1260
2022-12-01,1232
2022-12-02,1163
2022-12-03,939
2022-12-04,993
2022-12-05,1281
2022-12-06,1287
2022-12-07,1146
2022-12-08,1336
2022-12-09,1002
2022-12-10,873
2022-12-11,1174
2022-12-12,1456
2022-12-13,1295
2022-12-14,1427
2022-12-15,1315
2022-12-16,1149
2022-12-17,917
2022-12-18,1107
2022-12-19,1495
2022-12-20,1220
2022-12-21,1302
2022-12-22,1263
2022-12-23,1151
2022-12-24,800
2022-12-25,681
2022-12-26,1155
2022-12-27,1055
2022-12-28,959
2022-12-29,885
2022-12-30,922
2022-12-31,688
2023-01-01,636
2023-01-02,874
2023-01-03,1051
2023-01-04,1060
2023-01-05,1198
2023-01-06,1058
2023-01-07,854
2023-01-08,1077
2023-01-09,1177
2023-01-10,1298
2023-01-11,1277
2023-01-12,1222
2023-01-13,1140
2023-01-14,833
2023-01-15,862
2023-01-16,1142
2023-01-17,1443
2023-01-18,1174
2023-01-19,1075
2023-01-20,1146
2023-01-21,851
2023-01-22,1124
2023-01-23,1263
2023-01-24,1233
2023-01-25,1196
2023-01-26,1021
2023-01-27,1009
2023-01-28,791
2023-01-29,827
2023-01-30,1143
2023-01-31,1145
2023-02-01,1094
2023-02-02,1109
2023-02-03,1163
2023-02-04,882
2023-02-05,924
2023-02-06,1255
2023-02-07,1271
2023-02-08,1233
2023-02-09,1115
2023-02-10,956
2023-02-11,858
2023-02-12,866
2023-02-13,1331
2023-02-14,1101
2023-02-15,1078
2023-02-16,1109
2023-02-17,1128
2023-02-18,895
2023-02-19,948
2023-02-20,1295
2023-02-21,1245
2023-02-22,1106
2023-02-23,1152
2023-02-24,1029
2023-02-25,824
2023-02-26,912
2023-02-27,1244
2023-02-28,1213
2023-03-01,1450
2023-03-02,1330
2023-03-03,1160
2023-03-04,793
2023-03-05,1019
2023-03-06,1122
2023-03-07,1068
2023-03-08,1044
2023-03-09,1107
2023-03-10,1027
2023-03-11,850
2023-03-12,948
2023-03-13,1220
2023-03-14,1130
2023-03-15,1401
2023-03-16,1372
2023-03-17,1069
2023-03-18,875
2023-03-19,953
2023-03-20,1253
2023-03-21,1273
2023-03-22,1221
2023-03-23,1148
2023-03-24,1067
2023-03-25,783
2023-03-26,869
2023-03-27,1214
2023-03-28,1262
2023-03-29,1258
2023-03-30,1475
2023-03-31,1100
2023-04-01,1082
2023-04-02,1058
2023-04-03,1358
2023-04-04,1280
2023-04-05,1185
2023-04-06,973
2023-04-07,1058
2023-04-08,934
2023-04-09,918
